"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
South Sudan,"12,104",,130  ,,"11,617",,357,2,"1,065",11,"235,462","20,727","11,360,350 ",Africa,939,"87,387",48,,,31
Saint Lucia,"11,970",,224 ,,"10,632",,"1,114",11,"64,810","1,213","81,871","443,279","184,694 ",North America,15,825,2,,,"6,032"
Channel Islands,"11,843",,98 ,,"11,455",,290,,"67,329",557,"947,210","5,384,996","175,898 ",Europe,15,"1,795",0,,,"1,649"
CAR,"11,401",,100 ,,"6,859",,"4,442",2,"2,310",20,"60,228","12,201","4,936,292 ",Africa,433,"49,363",82,,,900
Barbados,"10,667",,90 ,,"8,935",,"1,642",,"37,061",313,"338,510","1,176,109","287,822 ",North America,27,"3,198",1,,,"5,705"
Gambia,"9,939",,338 ,,"9,591",,10,3,"3,971",135,"102,510","40,961","2,502,643 ",Africa,252,"7,404",24,,,4
Yemen,"9,345",,"1,775 ",,"5,910",,"1,660",23,305,58,"265,253","8,652","30,658,644 ",Asia,"3,281","17,272",116,,,54
New Caledonia,"9,166",+66,200 ,+4,55,,"8,911",52,"31,718",692,"42,756","147,953","288,984 ",Australia/Oceania,32,"1,445",7,228,14,"30,836"
Brunei ,"8,980",+381,64 ,+1,"6,690",+322,"2,226",30,"20,280",145,"403,077","910,293","442,799 ",Asia,49,"6,919",1,860,2,"5,027"
Isle of Man,"8,028",,54 ,,"7,499",,475,1,"93,780",631,"125,320","1,463,933","85,605 ",Europe,11,"1,585",1,,,"5,549"
Eritrea,"6,741",,42 ,,"6,669",,30,,"1,868",12,"23,693","6,565","3,608,720 ",Africa,535,"85,922",152,,,8
Sierra Leone,"6,396",,121 ,,"4,393",,"1,882",,782,15,"160,729","19,643","8,182,668 ",Africa,"1,279","67,625",51,,,230
Guinea-Bissau,"6,117",,135 ,,"5,349",,633,4,"3,018",67,"99,393","49,036","2,026,946 ",Africa,331,"15,014",20,,,312
Niger,"6,093",,204 ,,"5,790",,99,,241,8,"160,817","6,353","25,314,777 ",Africa,"4,155","124,092",157,,,4
Liberia,"5,799",,286 ,,"5,458",,55,2,"1,113",55,"128,246","24,623","5,208,329 ",Africa,898,"18,211",41,,,11
Gibraltar,"5,626",+13,97 ,,"5,441",+9,88,4,"167,053","2,880","369,179","10,962,023","33,678 ",Europe,6,347,0,386,,"2,613"
Grenada,"5,619",+28,177 ,+4,"5,078",+26,364,,"49,644","1,564","74,367","657,034","113,186 ",North America,20,639,2,247,35,"3,216"
Bermuda,"5,501",,89 ,,"4,600",,812,1,"88,747","1,436","557,923","9,000,936","61,985 ",North America,11,696,0,,,"13,100"
San Marino,"5,444",,91 ,,"5,330",,23,2,"160,014","2,675","79,868","2,347,540","34,022 ",Europe,6,374,0,,,676
Chad,"5,059",,174 ,,"4,865",,20,,297,10,"147,563","8,669","17,022,674 ",Africa,"3,365","97,831",115,,,1
New Zealand,"4,624",+61,28 ,,"4,140",+24,456,5,924,6,"3,587,240","717,147","5,002,100 ",Australia/Oceania,"1,082","178,646",1,12,,91
Sint Maarten,"4,403",+8,69 ,+1,"4,212",+8,122,10,"101,232","1,586","53,105","1,220,973","43,494 ",North America,10,630,1,184,23,"2,805"
Comoros,"4,165",+4,147 ,,"3,997",,21,,"4,664",165,,,"893,085 ",Africa,214,"6,075",,4,,24
Dominica,"4,006",+58,26 ,,"3,537",+83,443,,"55,475",360,"79,982","1,107,585","72,213 ",North America,18,"2,777",1,803,,"6,135"
St. Vincent Grenadines,"3,965",,33 ,,"2,532",,"1,400",2,"35,596",296,"79,366","712,518","111,388 ",North America,28,"3,375",1,,,"12,569"
Saint Martin,"3,789",,55 ,,"1,399",,"2,335",7,"95,917","1,392","54,303","1,374,655","39,503 ",North America,10,718,1,,,"59,109"
Antigua and Barbuda,"3,738",,91 ,,"2,580",,"1,067",9,"37,773",920,"17,674","178,599","98,959 ",North America,26,"1,087",6,,,"10,782"
Sao Tome and Principe,"3,626",,56 ,,"2,963",,607,,"16,164",250,"14,689","65,482","224,321 ",Africa,62,"4,006",15,,,"2,706"
Liechtenstein,"3,460",,60 ,,"3,379",,21,1,"90,417","1,568","49,126","1,283,769","38,267 ",Europe,11,638,1,,,549
Monaco,"3,333",,33 ,,"3,272",,28,2,"84,177",833,"54,960","1,388,054","39,595 ",Europe,12,"1,200",1,,,707
Turks and Caicos,"2,895",,23 ,,"2,800",,72,1,"73,511",584,"94,789","2,406,912","39,382 ",North America,14,"1,712",0,,,"1,828"
British Virgin Islands,"2,725",,37 ,,"2,649",,39,7,"89,382","1,214","82,570","2,708,368","30,487 ",North America,11,824,0,,,"1,279"
Bhutan,"2,613",,3  ,,"2,603",,7,,"3,340",4,"1,166,806","1,491,322","782,397 ",Asia,299,"260,799",1,,,9
Saint Kitts and Nevis,"2,361",,17 ,,"1,308",,"1,036",1,"43,985",317,"45,849","854,165","53,677 ",North America,23,"3,157",1,,,"19,301"
Caribbean Netherlands,"2,230",,19 ,,"2,064",,147,,"84,046",716,"25,579","964,045","26,533 ",North America,12,"1,396",1,,,"5,540"
St. Barth,"1,587",,6 ,,462,,"1,119",,"160,061",605,"38,369","3,869,793","9,915 ",North America,6,"1,653",0,,,"112,859"
Faeroe Islands,"1,280",,2 ,,"1,159",,119,,"26,070",41,"443,000","9,022,587","49,099 ",Europe,38,"24,550",0,,,"2,424"
Cayman Islands,960,,2 ,,810,,148,,"14,392",30,"136,206","2,042,008","66,702 ",North America,69,"33,351",0,,,"2,219"
Diamond Princess,712,,13 ,,699,,0,,,,,, ,,,,,,,
Greenland,623,, ,,563,,60,2,"10,950",,"77,649","1,364,777","56,895 ",North America,91,,1,,,"1,055"
Anguilla,544,,1 ,,477,,66,,"35,853",66,"42,919","2,828,643","15,173 ",North America,28,"15,173",0,,,"4,350"
Wallis and Futuna,445,,7 ,,438,,0,,"40,499",637,"20,508","1,866,400","10,988 ",Australia/Oceania,25,"1,570",1,,,
Macao,77,, ,,64,,13,,117,,"4,951","7,495","660,570 ",Asia,"8,579",,133,,,20
Falkland Islands,68,, ,,67,,1,,"18,847",,"7,643","2,118,348","3,608 ",South America,53,,0,,,277
Montserrat,41,,1 ,,31,,9,,"8,207",200,"1,408","281,825","4,996 ",North America,122,"4,996",4,,,"1,801"
Saint Pierre Miquelon,32,, ,,31,,1,,"5,557",,"9,997","1,736,193","5,758 ",North America,180,,1,,,174
Vatican City,27,, ,,27,,0,,"33,582",,,,804 ,Europe,30,,,,,
Solomon Islands,20,, ,,20,,0,,28,,"4,500","6,354","708,227 ",Australia/Oceania,"35,411",,157,,,
Western Sahara,10,,1 ,,8,,1,,16,2,,,"615,948 ",Africa,"61,595","615,948",,,,2
MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,,,,,
Palau,8,, ,,5,,3,,439,,"10,852","596,133","18,204 ",Australia/Oceania,"2,276",,2,,,165
Vanuatu,4,,1 ,,3,,0,,13,3,"23,000","72,729","316,241 ",Australia/Oceania,"79,060","316,241",14,,,
Marshall Islands,4,, ,,4,,0,,67,,,,"59,697 ",Australia/Oceania,"14,924",,,,,
Samoa,3,, ,,3,,0,,15,,,,"200,089 ",Australia/Oceania,"66,696",,,,,
Saint Helena,2,, ,,2,,0,,328,,,,"6,100 ",Africa,"3,050",,,,,
Total:,"238,462,521","+131,520","4,865,002","+2,630","215,616,007","+153,638","17,981,512","82,619","30,592.5",624.1,,,,All,"
",,,,,
